акр арк
вес сев
воз зов
вол лов
вор ров
год дог
гул луг
икс иск
йот той
кон нок
мот том
нос сон
нут тун
опт пот
орс сор
туф фут
хан хна
абаз база
адат дата
анид дина
араб арба
араб раба
арак арка
арак кара
арак рака
арат тара
арба раба
арка кара
арка рака
арфа фара
ашуг шуга
барк краб
барс брас
брус сруб
бязь зябь
ваер вера
вдох вход
вина нива
вино воин
вино овин
воин овин
галс глас
гран ранг
даур удар
дрек кедр
дрок корд
дуло одул
дуло удол
залп плаз
зола лоза
игра ирга
игра рига
ирга рига
каик кика
кара рака
карп крап
карт трак
керн крен
кипа пика
клоп полк
клёш шёлк
корт крот
корт торк
корт трок
крот торк
крот трок
лето тело
лоск скол
луна улан
лунь нуль
лупа пула
марс рамс
мирт ритм
натр рант
овёс своё
одул удол
опал пола
парс рапс
перс репс
перс серп
перш шерп
пест степ
писк скип
плис слип
плис спил
плюш шлюп
прут труп
раус сура
раут рута
раут тура
репс серп
рост сорт
рост торс
рост трос
рута тура
севр серв
скот сток
слип спил
сорт торс
сорт трос
торк трок
торс трос
торт трот
торф форт
торф фтор
трюк тюрк
укор урок
уран урна
утор утро
фиал фила
форт фтор
шарм шрам
абвер верба
аборт обрат
аборт табор
аборт торба
абрек бекар
аванс саван
аврал лавра
автол отвал
автор втора
автор отвар
автор рвота
автор тавро
автор товар
агнат таган
аймак кайма
акант канат
акант накат
актёр тёрка
аларм марал
амбар амбра
ангар нагар
анкер нерка
анонс нанос
аорта отара
апрош шпора
аргон онагр
аркан накра
бадан банда
балок бокал
балок колба
барак барка
барит триба
бивак вабик
бином обмин
бирка кариб
бокал колба
булка кабул
бурса сабур
вазон навоз
вакса саква
валах халва
валет ветла
варан навар
весна навес
виола олива
висок совик
война навой
втора отвар
втора рвота
втора тавро
втора товар
выбор обрыв
вывоз вызов
выдох выход
газон загон
галка кагал
галун лагун
галун нагул
ганка каган
гарда драга
гарем герма
гарус гусар
голик логик
гроза розга
груда гурда
девон невод
декор докер
дерма дрема
динар надир
дойна надой
домна номад
досол солод
драка карда
дрена редан
замер мазер
замес сезам
зерно резон
излом измол
иприт пирит
искра риска
истец ситец
казна наказ
калан канал
калан ланка
калан накал
калач лачка
камса маска
камса самка
канал ланка
канал накал
канат накат
капля пакля
капля пялка
капор ропак
карат карта
карат катар
карел лерка
карта катар
кельт клеть
кинза низка
клоун колун
клоун уклон
кокос косок
колет леток
колоб лобок
колун уклон
конус сукно
короб оброк
кошма мокша
кошма мошка
крест треск
крупа пурка
кукан кунак
кукша кушак
кулан лунка
кутас скаут
кучер чурек
лагун нагул
ланка накал
лапта плата
латыш талыш
лиман налим
литка талик
лоток откол
лошак школа
лямка мялка
макет метка
маляр марля
маска самка
метол омлет
минор мирон
мирта митра
мокша мошка
монах мохна
мотет тотем
мурза разум
налеп пенал
налеп плена
народ радон
нарта таран
обвес обсев
облом обмол
обрат табор
обрат торба
опрос просо
оптик топик
оскал скало
оскал солка
остяк стояк
отвар рвота
отвар тавро
отвар товар
отвес отсев
отвес совет
отпал толпа
отпор ропот
отпор топор
отрок рокот
отсев совет
пакля пялка
пахит пихта
пенал плена
пикап пипка
пират тапир
плеск склеп
пятка тяпка
ранет рента
ратин тиран
рвота тавро
рвота товар
ропот топор
румба умбра
сайра сарай
самум сумма
секта сетка
секта стека
секта тесак
сенат стена
сетка стека
сетка тесак
синап спина
ситар триас
скало солка
скопа сопка
спурт струп
стека тесак
стела талес
стужа сутаж
табор торба
тавро товар
фелон фенол
хадис хасид
шкерт штрек
штука шутка
агулка калуга
азбука базука
аконит катион
аконит тоника
альбом мольба
апломб пломба
арника иранка
артист тарист
барекс сербка
барсук бурсак
барсук срубка
бекеша шебека
бельмо бемоль
берест бестер
беркут курбет
блонда надолб
бросок собкор
бурсак срубка
вектор корвет
героин регион
дереза резеда
диктор дротик
доступ подуст
дранка кардан
ельник никель
зимник кинизм
иголка логика
истома маоист
кантор картон
канцер кранец
каперс парсек
каплун плакун
кариес секира
кастор костра
катион тоника
катрен танкер
кафель кефаль
келарь лекарь
клапан планка
клипса плиска
клипса спилка
клобук клубок
клотик отклик
колесо оселок
кондор кордон
контур котурн
корсет стокер
коршун шнурок
крутка куртка
кутора уторка
ленчик членик
лопата оплата
матрас сармат
минтай наймит
